Series;f0;f0.se;f0.p;f0.lo95;f0.up95;Method;Warning;Prefilter;Prefilter.p;SatCrit.Warning;LR.f0;LR.f0.se;LR.f0.p;LR.f0.lo95;LR.f0.up95;LR.Warning
20220609_3_3Spp_A;2.688e+00;8.741e-01;9.148e-02;-1.073e+00;6.448e+00;LR;None;Signal;2.596e-02;NA;2.688e+00;8.741e-01;9.148e-02;-1.073e+00;6.448e+00;None
20220609_3_3Spp_B;1.209e+01;2.045e-01;1.076e-02;9.493e+00;1.469e+01;HMR;None;Signal;2.717e-13;NA;7.541e+00;8.016e-01;1.111e-02;4.092e+00;1.099e+01;None
20220609_3_3Spp_C;7.176e+00;4.076e-01;3.613e-02;1.996e+00;1.236e+01;HMR;None;Signal;6.118e-09;NA;6.226e+00;2.060e-01;1.093e-03;5.340e+00;7.113e+00;None
20220609_3_Clover_A;2.067e+01;1.505e+01;4.007e-01;-1.706e+02;2.119e+02;HMR;None;Signal;0.000e+00;NA;1.468e+01;2.615e+00;3.030e-02;3.427e+00;2.593e+01;None
20220609_3_Clover_B;1.064e+01;1.650e+00;9.798e-02;-1.033e+01;3.160e+01;HMR;None;Signal;1.111e-04;NA;4.225e+00;9.697e-01;4.886e-02;5.217e-02;8.397e+00;None
20220609_3_Clover_C;3.656e+01;2.308e+01;3.585e-01;-2.567e+02;3.298e+02;HMR;None;Signal;0.000e+00;NA;1.231e+01;4.174e+00;9.829e-02;-5.647e+00;3.027e+01;None
20220609_3_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.446e-01;NA;1.460e+00;7.093e-01;1.758e-01;-1.592e+00;4.512e+00;None
20220609_3_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;4.414e-01;NA;1.548e+00;2.714e-01;2.940e-02;3.801e-01;2.716e+00;None
20220609_3_Trit_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;7.160e-01;NA;1.076e+00;2.467e-01;4.872e-02;1.494e-02;2.138e+00;None
20220609_3_Trit_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;2.229e-01;NA;1.890e+00;5.327e-01;7.107e-02;-4.020e-01;4.182e+00;None
20220609_4_3Spp_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;5.820e-01;NA;1.048e+00;6.113e-01;2.286e-01;-1.582e+00;3.678e+00;None
20220609_4_3Spp_B;7.875e+00;3.717e+00;2.808e-01;-3.935e+01;5.510e+01;HMR;None;Signal;4.408e-03;NA;3.360e+00;7.392e-01;4.515e-02;1.794e-01;6.540e+00;None
20220609_4_3Spp_C;1.114e+01;4.244e+00;1.197e-01;-7.121e+00;2.940e+01;LR;None;Signal;0.000e+00;NA;1.114e+01;4.244e+00;1.197e-01;-7.121e+00;2.940e+01;None
